Datetime,Device Code,Direction
2023-04-13T03:00:50Z,RT029302,Exit
2023-04-13T03:01:08Z,RT029301,Entry
2023-04-13T03:02:54Z,RT061805,Entry
2023-04-13T03:04:21Z,RT061802,Exit
2023-04-13T03:04:31Z,RT029306,Exit
2023-04-13T03:04:42Z,LBCTR,Exit
2023-04-13T03:04:43Z,RT061806,Exit
2023-04-13T03:04:43Z,LBCTR,Entry
2023-04-13T03:05:21Z,RT046203,Entry
2023-04-13T03:06:07Z,RT046206,Exit
2023-04-13T03:06:47Z,RT061801,Entry
2023-04-13T03:07:20Z,RT029302,Exit
2023-04-13T03:07:21Z,RT046205,Entry
2023-04-13T03:07:31Z,LBCTR,Exit
2023-04-13T03:08:26Z,RT061801,Entry
2023-04-13T03:08:53Z,RT046204,Exit
2023-04-13T03:09:28Z,RT029302,Exit
2023-04-13T03:10:26Z,RT046203,Entry
2023-04-13T03:12:13Z,RT061806,Exit
2023-04-13T03:12:46Z,RT046205,Entry
2023-04-13T03:13:02Z,RT046204,Exit
2023-04-13T03:14:08Z,LBCTR,Exit
2023-04-13T03:14:44Z,LBCTR,Entry
2023-04-13T03:14:53Z,RT061806,Exit
2023-04-13T03:15:33Z,RT046207,Entry
2023-04-13T03:16:04Z,LBCTR,Entry
2023-04-13T03:16:17Z,RT046206,Exit
2023-04-13T03:16:54Z,RT029302,Exit
2023-04-13T03:16:56Z,RT046203,Entry
2023-04-13T03:17:54Z,RT046205,Entry
2023-04-13T03:17:55Z,RT046204,Exit
2023-04-13T03:18:30Z,RT029306,Exit
2023-04-13T03:19:38Z,LBCTR,Entry
2023-04-13T03:20:05Z,LBCTR,Exit
2023-04-13T03:20:19Z,RT061805,Entry
2023-04-13T03:20:46Z,RT061805,Entry
2023-04-13T03:20:54Z,RT061805,Entry
2023-04-13T03:21:01Z,RT061805,Entry
2023-04-13T03:23:13Z,RT046205,Entry
2023-04-13T03:23:29Z,LBCTR,Exit
2023-04-13T03:24:13Z,LBCTR,Entry
2023-04-13T03:24:19Z,LBCTR,Entry
2023-04-13T03:24:57Z,RT029302,Exit
2023-04-13T03:25:11Z,RT029301,Entry
2023-04-13T03:25:14Z,RT061802,Exit
2023-04-13T03:25:26Z,RT061801,Entry
2023-04-13T03:26:06Z,LBCTR,Entry
2023-04-13T03:27:10Z,RT046205,Entry
2023-04-13T03:27:23Z,LBCTR,Entry
2023-04-13T03:27:27Z,RT061801,Entry
2023-04-13T03:27:53Z,RT061806,Exit
2023-04-13T03:29:19Z,RT046203,Entry
2023-04-13T03:29:48Z,RT061801,Entry
2023-04-13T03:30:00Z,RT046204,Exit
2023-04-13T03:30:35Z,RT061805,Entry
2023-04-13T03:30:41Z,LBCTR,Exit
2023-04-13T03:30:59Z,RT029302,Exit
2023-04-13T03:31:24Z,LBCHN,Exit
2023-04-13T03:32:37Z,RT061802,Exit
2023-04-13T03:32:53Z,RT061801,Entry
2023-04-13T03:34:02Z,RT061806,Exit
2023-04-13T03:34:21Z,LBCTR,Entry
2023-04-13T03:34:28Z,RT061806,Exit
2023-04-13T03:35:18Z,RT046205,Entry
2023-04-13T03:35:35Z,LBCTR,Entry
2023-04-13T03:36:03Z,LBCTR,Exit
2023-04-13T03:36:12Z,RT046205,Entry
2023-04-13T03:37:11Z,LBCTR,Exit
2023-04-13T03:37:23Z,RT029305,Entry
2023-04-13T03:37:28Z,RT061801,Entry
2023-04-13T03:38:38Z,LBCTR,Entry
2023-04-13T03:38:42Z,RT046206,Exit
2023-04-13T03:39:04Z,RT046201,Entry
2023-04-13T03:39:05Z,RT046204,Exit
2023-04-13T03:39:15Z,RT046201,Entry
2023-04-13T03:39:31Z,RT046201,Entry
2023-04-13T03:39:43Z,RT061805,Entry
2023-04-13T03:39:52Z,LBCHN,Entry
2023-04-13T03:41:22Z,RT061802,Exit
2023-04-13T03:41:24Z,RT046204,Exit
2023-04-13T03:42:39Z,LBCHN,Entry
2023-04-13T03:43:30Z,RT046206,Exit
2023-04-13T03:44:38Z,LBCTR,Entry
2023-04-13T03:45:04Z,LBCTR,Entry
2023-04-13T03:45:19Z,RT029302,Exit
2023-04-13T03:46:00Z,LBCTR,Entry
2023-04-13T03:46:05Z,RT061805,Entry
2023-04-13T03:46:52Z,RT046205,Entry
2023-04-13T03:47:37Z,LBCHN,Exit
2023-04-13T03:48:27Z,RT046205,Entry
2023-04-13T03:49:28Z,LBCTR,Exit
2023-04-13T03:49:33Z,RT029306,Exit
2023-04-13T03:49:55Z,LBCTR,Exit
2023-04-13T03:50:04Z,RT061806,Exit
2023-04-13T03:50:25Z,RT046201,Entry
2023-04-13T03:50:31Z,LBCHN,Exit
2023-04-13T03:50:39Z,RT061805,Entry
2023-04-13T03:51:20Z,LBCTR,Exit
2023-04-13T03:51:33Z,RT061802,Exit
2023-04-13T03:52:03Z,RT029302,Exit
2023-04-13T03:52:11Z,RT061806,Exit
2023-04-13T03:52:22Z,RT029302,Exit
2023-04-13T03:52:40Z,RT061801,Entry
2023-04-13T03:52:44Z,RT061801,Entry
2023-04-13T03:52:47Z,RT029301,Entry
2023-04-13T03:53:12Z,RT029302,Exit
2023-04-13T03:53:12Z,RT061806,Exit
2023-04-13T03:53:27Z,RT046206,Exit
2023-04-13T03:53:48Z,LBCTR,Entry
2023-04-13T03:54:32Z,RT061801,Entry
2023-04-13T03:54:48Z,RT046206,Exit
2023-04-13T03:54:55Z,RT061801,Entry
2023-04-13T03:55:12Z,LBCTR,Exit
2023-04-13T03:55:26Z,RT046205,Entry
2023-04-13T03:55:36Z,RT061806,Exit
2023-04-13T03:56:46Z,LBCTR,Exit
2023-04-13T03:57:02Z,RT029302,Exit
2023-04-13T03:57:06Z,RT029302,Exit
2023-04-13T03:57:38Z,RT061801,Entry
2023-04-13T03:57:54Z,RT061806,Exit
2023-04-13T03:58:13Z,RT061806,Exit
2023-04-13T03:58:29Z,RT061806,Exit
2023-04-13T03:58:34Z,RT061806,Exit
2023-04-13T03:59:07Z,RT061801,Entry
2023-04-13T03:59:33Z,RT029301,Entry
2023-04-13T03:59:43Z,LBCTR,Entry
2023-04-13T03:59:48Z,RT061806,Exit
2023-04-13T03:59:48Z,LBCTR,Exit
2023-04-13T04:00:58Z,RT046206,Exit
2023-04-13T04:01:19Z,RT061806,Exit
2023-04-13T04:03:20Z,RT061801,Entry
2023-04-13T04:03:40Z,RT061806,Exit
2023-04-13T04:03:43Z,LBCHN,Exit
2023-04-13T04:04:19Z,RT061801,Entry
2023-04-13T04:04:36Z,RT061801,Entry
2023-04-13T04:04:59Z,RT046204,Exit
2023-04-13T04:05:26Z,LBCTR,Exit
2023-04-13T04:05:43Z,RT046201,Entry
2023-04-13T04:05:45Z,RT029302,Exit
2023-04-13T04:05:59Z,LBCTR,Exit
2023-04-13T04:06:43Z,LBCTR,Exit
2023-04-13T04:07:53Z,RT046201,Entry
2023-04-13T04:07:58Z,RT046201,Entry
2023-04-13T04:08:24Z,RT061802,Exit
2023-04-13T04:12:34Z,RT061801,Entry
2023-04-13T04:12:58Z,RT046205,Entry
2023-04-13T04:13:23Z,RT046201,Entry
2023-04-13T04:14:06Z,RT029305,Entry
2023-04-13T04:14:29Z,RT029302,Exit
2023-04-13T04:15:19Z,RT046201,Entry
2023-04-13T04:16:03Z,LBCTR,Exit
2023-04-13T04:16:11Z,RT046201,Entry
2023-04-13T04:16:12Z,RT029302,Exit
2023-04-13T04:16:43Z,RT046205,Entry
2023-04-13T04:17:45Z,RT046206,Exit
2023-04-13T04:18:13Z,RT029302,Exit
2023-04-13T04:18:14Z,RT061801,Entry
2023-04-13T04:18:16Z,RT029305,Entry
2023-04-13T04:19:18Z,RT046206,Exit
2023-04-13T04:19:41Z,RT046205,Entry
2023-04-13T04:19:41Z,LBCHN,Entry
2023-04-13T04:21:10Z,LBCTR,Entry
2023-04-13T04:21:41Z,RT029302,Exit
2023-04-13T04:22:37Z,RT029305,Entry
2023-04-13T04:23:04Z,RT046204,Exit
2023-04-13T04:23:39Z,RT046205,Entry
2023-04-13T04:24:06Z,RT061802,Exit
2023-04-13T04:24:55Z,RT029306,Exit
2023-04-13T04:25:50Z,RT046205,Entry
2023-04-13T04:26:27Z,LBCHN,Entry
2023-04-13T04:27:25Z,RT061801,Entry
2023-04-13T04:27:37Z,RT046201,Entry
2023-04-13T04:28:27Z,RT061806,Exit
2023-04-13T04:29:55Z,RT046201,Entry
2023-04-13T04:30:29Z,RT029305,Entry
2023-04-13T04:31:14Z,RT061805,Entry
2023-04-13T04:31:21Z,RT046205,Entry
2023-04-13T04:31:24Z,RT061806,Exit
2023-04-13T04:31:25Z,RT046201,Entry
2023-04-13T04:31:43Z,LBCTR,Exit
2023-04-13T04:32:35Z,LBCTR,Entry
2023-04-13T04:32:45Z,RT046205,Entry
2023-04-13T04:32:50Z,RT046205,Entry
2023-04-13T04:33:32Z,RT029302,Exit
2023-04-13T04:33:43Z,LBCTR,Exit
2023-04-13T04:33:57Z,RT061802,Exit
2023-04-13T04:34:33Z,LBCTR,Exit
2023-04-13T04:35:06Z,RT061801,Entry
2023-04-13T04:35:17Z,RT046205,Entry
2023-04-13T04:35:20Z,LBCTR,Entry
2023-04-13T04:36:01Z,RT046201,Entry
2023-04-13T04:36:17Z,LBCTR,Entry
2023-04-13T04:37:16Z,LBCHN,Exit
2023-04-13T04:37:48Z,RT046206,Exit
2023-04-13T04:38:54Z,RT061802,Exit
2023-04-13T04:40:11Z,RT046204,Exit
2023-04-13T04:41:14Z,LBCTR,Entry
2023-04-13T04:41:41Z,RT029302,Exit
2023-04-13T04:42:18Z,LBCTR,Exit
2023-04-13T04:42:41Z,RT046201,Entry
2023-04-13T04:42:43Z,RT061801,Entry
2023-04-13T04:43:00Z,RT046201,Entry
2023-04-13T04:43:17Z,RT046201,Entry
2023-04-13T04:44:22Z,RT061806,Exit
2023-04-13T04:45:30Z,RT061802,Exit
2023-04-13T04:45:50Z,LBCTR,Exit
2023-04-13T04:46:20Z,RT061802,Exit
2023-04-13T04:46:50Z,RT061806,Exit
2023-04-13T04:48:16Z,RT061801,Entry
2023-04-13T04:48:29Z,LBCTR,Exit
2023-04-13T04:48:44Z,RT046204,Exit
2023-04-13T04:48:54Z,RT061802,Exit
2023-04-13T04:49:02Z,LBCTR,Entry
2023-04-13T04:49:42Z,RT029306,Exit
2023-04-13T04:49:52Z,LBCTR,Entry
2023-04-13T04:50:23Z,RT046204,Exit
2023-04-13T04:50:58Z,RT046201,Entry
2023-04-13T04:51:04Z,LBCTR,Entry
2023-04-13T04:51:36Z,RT061801,Entry
2023-04-13T04:53:08Z,RT046205,Entry
2023-04-13T04:53:16Z,RT046201,Entry
2023-04-13T04:54:50Z,RT061806,Exit
2023-04-13T04:54:54Z,RT046205,Entry
2023-04-13T04:55:22Z,LBCTR,Exit
2023-04-13T04:55:27Z,RT046206,Exit
2023-04-13T04:55:41Z,LBCTR,Exit
2023-04-13T04:56:28Z,RT029302,Exit
2023-04-13T04:59:36Z,LBCTR,Entry
2023-04-13T04:59:41Z,RT046205,Entry
2023-04-13T05:00:29Z,RT046206,Exit
2023-04-13T05:01:31Z,RT061801,Entry
2023-04-13T05:02:20Z,LBCTR,Entry
2023-04-13T05:02:33Z,LBCTR,Entry
2023-04-13T05:03:22Z,RT061806,Exit
2023-04-13T05:03:31Z,RT061806,Exit
2023-04-13T05:03:37Z,RT061806,Exit
2023-04-13T05:03:51Z,RT046205,Entry
2023-04-13T05:03:55Z,LBCTR,Entry
2023-04-13T05:04:48Z,RT046205,Entry
2023-04-13T05:05:19Z,LBCTR,Entry
2023-04-13T05:06:00Z,RT046206,Exit
2023-04-13T05:06:05Z,RT046205,Entry
2023-04-13T05:06:38Z,RT061806,Exit
2023-04-13T05:06:44Z,RT061806,Exit
2023-04-13T05:08:23Z,RT029301,Entry
2023-04-13T05:08:38Z,RT061801,Entry
2023-04-13T05:09:11Z,RT046204,Exit
2023-04-13T05:09:13Z,RT029302,Exit
2023-04-13T05:09:44Z,LBCHN,Entry
2023-04-13T05:09:53Z,RT046201,Entry
2023-04-13T05:09:55Z,RT061805,Entry
2023-04-13T05:10:31Z,RT029306,Exit
2023-04-13T05:11:01Z,RT046204,Exit
2023-04-13T05:11:44Z,RT046201,Entry
2023-04-13T05:13:37Z,RT046205,Entry
2023-04-13T05:13:53Z,RT061806,Exit
2023-04-13T05:14:31Z,RT046206,Exit
2023-04-13T05:15:01Z,LBCTR,Exit
2023-04-13T05:15:19Z,LBCTR,Entry
2023-04-13T05:16:49Z,RT046205,Entry
2023-04-13T05:16:54Z,RT061805,Entry
2023-04-13T05:16:55Z,RT061801,Entry
2023-04-13T05:18:06Z,RT046204,Exit
2023-04-13T05:20:11Z,RT029306,Exit
2023-04-13T05:20:50Z,LBCTR,Entry
2023-04-13T05:22:19Z,RT061805,Entry
2023-04-13T05:22:21Z,RT061802,Exit
2023-04-13T05:22:26Z,RT046205,Entry
2023-04-13T05:22:43Z,RT061802,Exit
2023-04-13T05:22:46Z,RT061805,Entry
2023-04-13T05:23:13Z,RT046206,Exit
2023-04-13T05:24:07Z,RT029302,Exit
2023-04-13T05:24:14Z,RT061806,Exit
2023-04-13T05:24:15Z,RT046205,Entry
2023-04-13T05:24:52Z,RT046206,Exit
2023-04-13T05:24:58Z,RT029305,Entry
2023-04-13T05:26:40Z,RT061806,Exit
2023-04-13T05:27:07Z,RT061805,Entry
2023-04-13T05:27:10Z,RT061801,Entry
2023-04-13T05:27:51Z,RT061806,Exit
2023-04-13T05:28:01Z,RT029302,Exit
2023-04-13T05:28:24Z,RT046201,Entry
2023-04-13T05:28:47Z,LBCTR,Entry
2023-04-13T05:28:52Z,LBCTR,Entry
2023-04-13T05:29:23Z,LBCTR,Exit
2023-04-13T05:29:53Z,LBCTR,Entry
2023-04-13T05:30:34Z,RT061806,Exit
2023-04-13T05:31:19Z,LBCTR,Entry
2023-04-13T05:31:23Z,RT029306,Exit
2023-04-13T05:32:09Z,RT061806,Exit
2023-04-13T05:32:11Z,RT046205,Entry
2023-04-13T05:32:34Z,RT061801,Entry
2023-04-13T05:32:35Z,RT061806,Exit
2023-04-13T05:33:17Z,LBCTR,Entry
2023-04-13T05:33:19Z,RT061805,Entry
2023-04-13T05:33:54Z,RT061805,Entry
2023-04-13T05:35:15Z,RT061806,Exit
2023-04-13T05:35:53Z,RT046201,Entry
2023-04-13T05:39:02Z,RT046205,Entry
2023-04-13T05:39:35Z,RT061801,Entry
2023-04-13T05:39:37Z,RT029301,Entry
2023-04-13T05:40:08Z,RT061801,Entry
2023-04-13T05:40:11Z,LBCTR,Entry
2023-04-13T05:40:17Z,RT061806,Exit
2023-04-13T05:40:55Z,RT046206,Exit
2023-04-13T05:41:01Z,RT029301,Entry
2023-04-13T05:41:01Z,RT046206,Exit
2023-04-13T05:41:32Z,RT046201,Entry
2023-04-13T05:41:50Z,LBCTR,Entry
2023-04-13T05:42:28Z,RT061805,Entry
2023-04-13T05:42:29Z,RT061801,Entry
2023-04-13T05:43:08Z,LBCTR,Entry
2023-04-13T05:43:23Z,RT046201,Entry
2023-04-13T05:43:30Z,RT061806,Exit
2023-04-13T05:43:50Z,RT046201,Entry
2023-04-13T05:43:57Z,RT061802,Exit
2023-04-13T05:43:58Z,RT046205,Entry
2023-04-13T05:44:11Z,LBCTR,Entry
2023-04-13T05:44:30Z,RT046205,Entry
2023-04-13T05:45:03Z,LBCTR,Entry
2023-04-13T05:45:34Z,RT046205,Entry
2023-04-13T05:47:23Z,LBCTR,Exit
2023-04-13T05:47:58Z,LBCHN,Exit
2023-04-13T05:48:11Z,LBCHN,Entry
2023-04-13T05:48:28Z,RT029302,Exit
2023-04-13T05:49:28Z,LBCTR,Exit
2023-04-13T05:50:16Z,RT061801,Entry
2023-04-13T05:51:02Z,RT029302,Exit
2023-04-13T05:51:12Z,RT061805,Entry
2023-04-13T05:52:15Z,RT029305,Entry
2023-04-13T05:52:48Z,LBCTR,Entry
2023-04-13T05:53:34Z,RT029301,Entry
2023-04-13T05:54:20Z,RT061801,Entry
2023-04-13T05:54:24Z,RT061806,Exit
2023-04-13T05:54:29Z,RT061806,Exit
2023-04-13T05:54:37Z,RT029301,Entry
2023-04-13T05:54:46Z,LBCHN,Exit
2023-04-13T05:54:47Z,RT061801,Entry
2023-04-13T05:55:23Z,RT061806,Exit
2023-04-13T05:55:32Z,RT046204,Exit
2023-04-13T05:55:33Z,LBCTR,Exit
2023-04-13T05:55:53Z,RT046205,Entry
2023-04-13T05:56:02Z,RT061806,Exit
2023-04-13T05:56:32Z,RT046201,Entry
2023-04-13T05:56:43Z,LBCTR,Exit
2023-04-13T05:57:10Z,RT061806,Exit
2023-04-13T05:57:25Z,RT061801,Entry
2023-04-13T05:58:27Z,RT046205,Entry
2023-04-13T05:58:30Z,RT061802,Exit
2023-04-13T05:59:27Z,RT061805,Entry
2023-04-13T05:59:27Z,RT029301,Entry
2023-04-13T06:00:14Z,RT061806,Exit
2023-04-13T06:00:14Z,RT061801,Entry
2023-04-13T06:00:40Z,RT061802,Exit
2023-04-13T06:00:46Z,RT061802,Exit
2023-04-13T06:00:46Z,RT046205,Entry
2023-04-13T06:00:59Z,LBCTR,Entry
2023-04-13T06:01:00Z,LBCTR,Entry
2023-04-13T06:01:32Z,RT046205,Entry
2023-04-13T06:01:41Z,RT029302,Exit
2023-04-13T06:02:03Z,LBCTR,Exit
2023-04-13T06:04:07Z,RT046204,Exit
2023-04-13T06:05:18Z,RT029301,Entry
2023-04-13T06:05:28Z,RT046201,Entry
2023-04-13T06:06:06Z,RT061806,Exit
2023-04-13T06:06:42Z,RT061802,Exit
2023-04-13T06:07:13Z,RT061802,Exit
2023-04-13T06:07:57Z,RT061806,Exit
2023-04-13T06:08:31Z,LBCTR,Exit
2023-04-13T06:08:51Z,RT061801,Entry
2023-04-13T06:08:54Z,LBCTR,Entry
2023-04-13T06:10:14Z,RT029301,Entry
2023-04-13T06:11:46Z,RT061806,Exit
2023-04-13T06:12:11Z,RT029301,Entry
2023-04-13T06:12:19Z,LBCTR,Entry
2023-04-13T06:12:30Z,LBCTR,Entry
2023-04-13T06:12:41Z,RT046206,Exit
2023-04-13T06:12:54Z,RT061801,Entry
2023-04-13T06:13:53Z,RT061805,Entry
2023-04-13T06:15:44Z,LBCTR,Exit
2023-04-13T06:15:51Z,LBCTR,Exit
2023-04-13T06:16:05Z,RT046201,Entry
2023-04-13T06:16:40Z,RT029305,Entry
2023-04-13T06:16:43Z,RT046205,Entry
2023-04-13T06:17:03Z,RT061801,Entry
2023-04-13T06:17:25Z,RT046201,Entry
2023-04-13T06:17:46Z,RT046206,Exit
2023-04-13T06:17:56Z,RT046204,Exit
2023-04-13T06:18:18Z,RT029306,Exit
2023-04-13T06:18:18Z,LBCTR,Exit
2023-04-13T06:19:26Z,RT029301,Entry
2023-04-13T06:20:10Z,RT061805,Entry
2023-04-13T06:20:10Z,LBCTR,Entry
2023-04-13T06:20:17Z,RT061806,Exit
2023-04-13T06:20:17Z,LBCHN,Entry
2023-04-13T06:20:30Z,RT061806,Exit
2023-04-13T06:20:48Z,LBCTR,Exit
2023-04-13T06:20:57Z,RT029305,Entry
2023-04-13T06:20:59Z,RT061805,Entry
2023-04-13T06:21:59Z,RT061806,Exit
2023-04-13T06:22:44Z,RT029301,Entry
2023-04-13T06:22:53Z,RT061801,Entry
2023-04-13T06:23:20Z,RT046201,Entry
2023-04-13T06:23:20Z,LBCTR,Entry
2023-04-13T06:23:39Z,RT046201,Entry
2023-04-13T06:23:40Z,RT061806,Exit
2023-04-13T06:23:45Z,RT046201,Entry
2023-04-13T06:23:58Z,RT029301,Entry
2023-04-13T06:24:03Z,RT046201,Entry
2023-04-13T06:26:03Z,RT061806,Exit
2023-04-13T06:26:06Z,RT061806,Exit
2023-04-13T06:26:18Z,RT046205,Entry
2023-04-13T06:26:33Z,LBCTR,Entry
2023-04-13T06:27:09Z,RT046205,Entry
2023-04-13T06:27:20Z,RT046201,Entry
2023-04-13T06:27:27Z,RT061801,Entry
2023-04-13T06:27:45Z,LBCTR,Entry
2023-04-13T06:27:51Z,RT046205,Entry
2023-04-13T06:28:50Z,RT046205,Entry
2023-04-13T06:28:51Z,RT029301,Entry
2023-04-13T06:29:17Z,RT029301,Entry
2023-04-13T06:29:25Z,RT046206,Exit
2023-04-13T06:29:33Z,RT061801,Entry
2023-04-13T06:30:04Z,RT046205,Entry
2023-04-13T06:31:03Z,RT046201,Entry
2023-04-13T06:31:04Z,RT046206,Exit
2023-04-13T06:31:49Z,LBCTR,Entry
2023-04-13T06:32:17Z,LBCTR,Entry
2023-04-13T06:33:07Z,RT046205,Entry
2023-04-13T06:33:42Z,RT046205,Entry
2023-04-13T06:34:08Z,RT061805,Entry
2023-04-13T06:35:28Z,RT061802,Exit
2023-04-13T06:35:58Z,RT046204,Exit
2023-04-13T06:36:01Z,RT061806,Exit
2023-04-13T06:36:02Z,RT061801,Entry
2023-04-13T06:36:41Z,RT029302,Exit
2023-04-13T06:36:53Z,RT061806,Exit
2023-04-13T06:36:53Z,LBCTR,Exit
2023-04-13T06:36:59Z,RT061806,Exit
